date,symbol,exchange,passed,failed_criteria,close,rs_percentile
2026-08-06,AAL.L,LSE,True,,4021.0,90.5
2026-08-06,AALB.AS,EURONEXT_AMSTERDAM,True,,44.56,94.4
2026-08-06,ABI.BR,EURONEXT_BRUSSELS,True,,73.94,80.0
2026-08-06,ABN.AS,EURONEXT_AMSTERDAM,True,,39.95,92.9
2026-08-06,ACX.MC,BME_MADRID,True,,18.48,97.8
2026-08-06,AGN.AS,EURONEXT_AMSTERDAM,True,,8.232,80.4
2026-08-06,AGS.BR,EURONEXT_BRUSSELS,True,,74.2,78.0
2026-08-06,AKER.OL,OSLO,True,,1324.0,99.3
2026-08-06,AKRBP.OL,OSLO,True,,329.6,82.6
2026-08-06,ALV.DE,XETRA,True,,436.6,74.3
2026-08-06,ANTO.L,LSE,True,,4050.0,93.2
2026-08-06,ATCO-A.ST,OMX_STOCKHOLM,True,,210.2,75.1
2026-08-06,BAER.SW,SIX,True,,74.16,79.5
2026-08-06,BAMI.MI,BORSA_ITALIANA,True,,16.53,90.7
2026-08-06,BAMNB.AS,EURONEXT_AMSTERDAM,True,,11.81,93.4
2026-08-06,BARC.L,LSE,True,,527.441,72.4
2026-08-06,BAYN.DE,XETRA,True,,49.22,92.4
2026-08-06,BBVA.MC,BME_MADRID,True,,24.29,89.0
2026-08-06,BEZ.L,LSE,True,,1290.0,70.7
2026-08-06,BMPS.MI,BORSA_ITALIANA,True,,11.872,96.3
2026-08-06,BNP.PA,EURONEXT_PARIS,True,,112.12,91.9
2026-08-06,BNZL.L,LSE,True,,2824.0,79.2
2026-08-06,BPE.MI,BORSA_ITALIANA,True,,14.834,93.9
2026-08-06,CABK.MC,BME_MADRID,True,,12.76,84.8
2026-08-06,CAST.ST,OMX_STOCKHOLM,True,,136.05,71.6
2026-08-06,CCH.L,LSE,True,,5015.0,80.2
2026-08-06,CLN.SW,SIX,True,,10.0,83.4
2026-08-06,DANSKE.CO,OMX_COPENHAGEN,True,,376.6,91.2
2026-08-06,DB1.DE,XETRA,True,,269.0,73.6
2026-08-06,DCC.L,LSE,True,,6385.0,80.7
2026-08-06,DHL.DE,XETRA,True,,55.58,82.2
2026-08-06,DPLM.L,LSE,True,,7675.0,91.0
2026-08-06,DTG.DE,XETRA,True,,48.12,73.8
2026-08-06,EDEN.PA,EURONEXT_PARIS,True,,29.29,95.1
2026-08-06,ELE.MC,BME_MADRID,True,,41.64,92.7
2026-08-06,EMSN.SW,SIX,True,,819.0,88.3
2026-08-06,ENI.MI,BORSA_ITALIANA,True,,23.085,93.6
2026-08-06,EQNR.OL,OSLO,True,,369.1,94.6
2026-08-06,EVK.DE,XETRA,True,,17.64,77.0
2026-08-06,FBK.MI,BORSA_ITALIANA,True,,24.7,74.6
2026-08-06,FRO.OL,OSLO,True,,365.4,95.6
