date,symbol,exchange,passed,failed_criteria,close,rs_percentile
2026-07-30,AALB.AS,EURONEXT_AMSTERDAM,True,,42.38,94.4
2026-07-30,ABI.BR,EURONEXT_BRUSSELS,True,,72.74,86.3
2026-07-30,ABN.AS,EURONEXT_AMSTERDAM,True,,37.47,92.7
2026-07-30,ACX.MC,BME_MADRID,True,,17.16,97.1
2026-07-30,ADM.L,LSE,True,,3808.0,80.5
2026-07-30,AGN.AS,EURONEXT_AMSTERDAM,True,,8.016,82.7
2026-07-30,AGS.BR,EURONEXT_BRUSSELS,True,,71.2,77.8
2026-07-30,AKE.PA,EURONEXT_PARIS,True,,61.35,72.4
2026-07-30,AKRBP.OL,OSLO,True,,340.2,91.0
2026-07-30,ALV.DE,XETRA,True,,429.3,75.9
2026-07-30,BAER.SW,SIX,True,,70.66,72.0
2026-07-30,BAMI.MI,BORSA_ITALIANA,True,,15.28,89.0
2026-07-30,BAYN.DE,XETRA,True,,48.04,92.4
2026-07-30,BBVA.MC,BME_MADRID,True,,23.39,86.1
2026-07-30,BEZ.L,LSE,True,,1291.0,81.0
2026-07-30,BKT.MC,BME_MADRID,True,,15.73,70.7
2026-07-30,BMPS.MI,BORSA_ITALIANA,True,,11.428,97.6
2026-07-30,BNP.PA,EURONEXT_PARIS,True,,106.64,90.7
2026-07-30,BNZL.L,LSE,True,,2810.0,80.7
2026-07-30,BP.L,LSE,True,,545.9,76.1
2026-07-30,BPE.MI,BORSA_ITALIANA,True,,13.628,92.0
2026-07-30,CABK.MC,BME_MADRID,True,,12.38,90.0
2026-07-30,CCH.L,LSE,True,,5045.0,84.9
2026-07-30,CLN.SW,SIX,True,,9.095,77.1
2026-07-30,DANSKE.CO,OMX_COPENHAGEN,True,,363.7,89.8
2026-07-30,DB1.DE,XETRA,True,,267.4,71.0
2026-07-30,DCC.L,LSE,True,,6335.0,85.4
2026-07-30,DHL.DE,XETRA,True,,57.52,91.5
2026-07-30,DPLM.L,LSE,True,,7135.0,84.6
2026-07-30,DTG.DE,XETRA,True,,48.45,79.8
2026-07-30,EDEN.PA,EURONEXT_PARIS,True,,28.75,95.6
2026-07-30,ELE.MC,BME_MADRID,True,,42.13,95.1
2026-07-30,EMSN.SW,SIX,True,,816.0,88.5
2026-07-30,EN.PA,EURONEXT_PARIS,True,,49.27,74.4
2026-07-30,ENI.MI,BORSA_ITALIANA,True,,23.79,96.1
2026-07-30,EQNR.OL,OSLO,True,,394.5,99.0
2026-07-30,EVK.DE,XETRA,True,,17.82,85.1
2026-07-30,FRO.OL,OSLO,True,,374.1,98.3
2026-07-30,G.MI,BORSA_ITALIANA,True,,43.7,89.5
2026-07-30,GALP.LS,EURONEXT_LISBON,True,,19.995,70.5
2026-07-30,GLE.PA,EURONEXT_PARIS,True,,77.56,78.0
2026-07-30,HSBA.L,LSE,True,,1562.4,92.2
2026-07-30,HSX.L,LSE,True,,1819.0,81.2
2026-07-30,INGA.AS,EURONEXT_AMSTERDAM,True,,29.35,90.2
2026-07-30,INVE-B.ST,OMX_STOCKHOLM,True,,408.75,81.5
2026-07-30,ISP.MI,BORSA_ITALIANA,True,,6.423,70.2
2026-07-30,ISS.CO,OMX_COPENHAGEN,True,,291.6,89.3
2026-07-30,JYSK.CO,OMX_COPENHAGEN,True,,1007.0,82.4
2026-07-30,KNIN.SW,SIX,True,,205.7,76.3
2026-07-30,LOG.MC,BME_MADRID,True,,37.52,87.6
2026-07-30,LOTB.BR,EURONEXT_BRUSSELS,True,,11300.0,84.1
2026-07-30,MAERSK-B.CO,OMX_COPENHAGEN,True,,17425.0,79.3
2026-07-30,MB.MI,BORSA_ITALIANA,True,,27.38,99.3
2026-07-30,MRK.DE,XETRA,True,,144.6,74.1
2026-07-30,MT.AS,EURONEXT_AMSTERDAM,True,,58.02,98.0
2026-07-30,NESTE.HE,OMX_HELSINKI,True,,30.79,99.5
2026-07-30,NN.AS,EURONEXT_AMSTERDAM,True,,80.34,87.1
2026-07-30,NOVN.SW,SIX,True,,129.48,75.4
2026-07-30,ORA.PA,EURONEXT_PARIS,True,,17.205,71.5
2026-07-30,PSON.L,LSE,True,,1311.5,81.7
2026-07-30,PUM.DE,XETRA,True,,28.25,86.8
2026-07-30,REP.MC,BME_MADRID,True,,26.6,99.8
2026-07-30,ROR.L,LSE,True,,486.4,93.4
2026-07-30,RR.L,LSE,True,,1438.6,77.6
2026-07-30,SAN.MC,BME_MADRID,True,,11.994,86.6
2026-07-30,SDR.L,LSE,True,,588.5,93.2
2026-07-30,SEB-A.ST,OMX_STOCKHOLM,True,,219.4,73.9
2026-07-30,SGRO.L,LSE,True,,964.0,87.3
2026-07-30,SHB-A.ST,OMX_STOCKHOLM,True,,143.3,74.9
2026-07-30,SHEL.L,LSE,True,,3378.5,73.2
2026-07-30,SSAB-A.ST,OMX_STOCKHOLM,True,,98.64,95.4
2026-07-30,STAN.L,LSE,True,,2176.0,88.3
2026-07-30,STB.OL,OSLO,True,,202.2,82.0
2026-07-30,SW.PA,EURONEXT_PARIS,True,,57.8,79.0
2026-07-30,SWED-A.ST,OMX_STOCKHOLM,True,,376.3,87.8
2026-07-30,SY1.DE,XETRA,True,,94.0,79.5
