date,symbol,exchange,passed,failed_criteria,close,rs_percentile
2026-08-18,AAL.L,LSE,True,,3831.0,86.6
2026-08-18,AALB.AS,EURONEXT_AMSTERDAM,True,,42.4,92.2
2026-08-18,ABN.AS,EURONEXT_AMSTERDAM,True,,41.56,96.5
2026-08-18,ACA.PA,EURONEXT_PARIS,True,,19.675,72.3
2026-08-18,ADM.L,LSE,True,,3894.0,77.8
2026-08-18,AGN.AS,EURONEXT_AMSTERDAM,True,,8.19,80.9
2026-08-18,AGS.BR,EURONEXT_BRUSSELS,True,,73.2,76.3
2026-08-18,AKER.OL,OSLO,True,,1434.0,99.7
2026-08-18,AKRBP.OL,OSLO,True,,347.2,92.4
2026-08-18,ALV.DE,XETRA,True,,442.0,75.8
2026-08-18,ATCO-A.ST,OMX_STOCKHOLM,True,,202.3,73.0
2026-08-18,BAER.SW,SIX,True,,75.24,84.9
2026-08-18,BAMI.MI,BORSA_ITALIANA,True,,16.725,94.2
2026-08-18,BAMNB.AS,EURONEXT_AMSTERDAM,True,,11.77,90.2
2026-08-18,BAYN.DE,XETRA,True,,48.74,90.7
2026-08-18,BEZ.L,LSE,True,,1294.5,83.6
2026-08-18,BMPS.MI,BORSA_ITALIANA,True,,12.028,97.2
2026-08-18,BNP.PA,EURONEXT_PARIS,True,,109.4,88.9
2026-08-18,BNZL.L,LSE,True,,2774.0,78.8
2026-08-18,BPE.MI,BORSA_ITALIANA,True,,14.262,90.9
2026-08-18,CAST.ST,OMX_STOCKHOLM,True,,135.25,75.1
2026-08-18,CLN.SW,SIX,True,,10.83,94.5
2026-08-18,DANSKE.CO,OMX_COPENHAGEN,True,,369.7,85.6
2026-08-18,DB1.DE,XETRA,True,,279.2,79.8
2026-08-18,DCC.L,LSE,True,,6350.0,77.3
2026-08-18,DEMANT.CO,OMX_COPENHAGEN,True,,295.2,94.0
2026-08-18,DHL.DE,XETRA,True,,55.16,76.6
2026-08-18,DSFIR.AS,EURONEXT_AMSTERDAM,True,,87.48,86.1
2026-08-18,EDEN.PA,EURONEXT_PARIS,True,,28.19,95.7
2026-08-18,ELE.MC,BME_MADRID,True,,41.35,92.9
2026-08-18,EMSN.SW,SIX,True,,779.0,83.4
2026-08-18,ENI.MI,BORSA_ITALIANA,True,,24.0,95.0
2026-08-18,EQNR.OL,OSLO,True,,394.1,97.0
2026-08-18,EVK.DE,XETRA,True,,18.19,77.6
2026-08-18,FBK.MI,BORSA_ITALIANA,True,,23.81,74.3
2026-08-18,FRO.OL,OSLO,True,,398.3,98.5
2026-08-18,G.MI,BORSA_ITALIANA,True,,43.46,84.1
2026-08-18,GALP.LS,EURONEXT_LISBON,True,,21.47,76.1
2026-08-18,GLE.PA,EURONEXT_PARIS,True,,80.05,81.9
2026-08-18,GLEN.L,LSE,True,,551.2,92.7
2026-08-18,GTT.PA,EURONEXT_PARIS,True,,205.2,72.8
2026-08-18,HSBA.L,LSE,True,,1514.6,88.2
2026-08-18,IDR.MC,BME_MADRID,True,,62.78,89.9
2026-08-18,INGA.AS,EURONEXT_AMSTERDAM,True,,30.615,89.7
2026-08-18,INVE-B.ST,OMX_STOCKHOLM,True,,411.35,78.6
2026-08-18,ISP.MI,BORSA_ITALIANA,True,,6.881,79.1
2026-08-18,ISS.CO,OMX_COPENHAGEN,True,,292.2,87.4
2026-08-18,JYSK.CO,OMX_COPENHAGEN,True,,1042.0,82.4
2026-08-18,KBC.BR,EURONEXT_BRUSSELS,True,,130.0,73.8
2026-08-18,KNIN.SW,SIX,True,,211.2,85.9
2026-08-18,LOTB.BR,EURONEXT_BRUSSELS,True,,12400.0,93.5
2026-08-18,MAERSK-B.CO,OMX_COPENHAGEN,True,,20830.0,95.2
2026-08-18,MB.MI,BORSA_ITALIANA,True,,28.86,96.7
2026-08-18,MT.AS,EURONEXT_AMSTERDAM,True,,61.74,96.2
2026-08-18,NESTE.HE,OMX_HELSINKI,True,,30.88,99.2
2026-08-18,NKT.CO,OMX_COPENHAGEN,True,,958.5,87.7
2026-08-18,NN.AS,EURONEXT_AMSTERDAM,True,,77.92,79.3
2026-08-18,ORNBV.HE,OMX_HELSINKI,True,,78.35,75.3
2026-08-18,ROR.L,LSE,True,,484.8,88.4
2026-08-18,RR.L,LSE,True,,1537.8,82.6
2026-08-18,RWE.DE,XETRA,True,,58.1,86.4
2026-08-18,SEB-A.ST,OMX_STOCKHOLM,True,,220.0,78.3
2026-08-18,SGRO.L,LSE,True,,957.4,84.6
2026-08-18,SHB-A.ST,OMX_STOCKHOLM,True,,147.85,80.1
2026-08-18,SHEL.L,LSE,True,,3388.0,70.8
2026-08-18,SSAB-A.ST,OMX_STOCKHOLM,True,,104.7,98.0
2026-08-18,STAN.L,LSE,True,,2201.0,89.4
2026-08-18,STB.OL,OSLO,True,,203.8,78.1
2026-08-18,SU.PA,EURONEXT_PARIS,True,,295.1,74.8
2026-08-18,SUBC.OL,OSLO,True,,347.4,98.7
2026-08-18,SWED-A.ST,OMX_STOCKHOLM,True,,378.1,86.9
2026-08-18,TTE.PA,EURONEXT_PARIS,True,,76.9,87.9
2026-08-18,TYRES.HE,OMX_HELSINKI,True,,14.87,97.7
2026-08-18,UBSG.SW,SIX,True,,43.07,91.2
2026-08-18,UCG.MI,BORSA_ITALIANA,True,,83.38,74.1
2026-08-18,UMI.BR,EURONEXT_BRUSSELS,True,,23.04,91.4
2026-08-18,UNI.MI,BORSA_ITALIANA,True,,29.1,97.5
2026-08-18,VWS.CO,OMX_COPENHAGEN,True,,204.2,91.7
2026-08-18,AAK.ST,OMX_STOCKHOLM,False,c1|c2|c3|c4|c5|c6|c7|c8,191.8,5.0
2026-08-18,ABBN.SW,SIX,False,c5,80.56,85.4
2026-08-18,ABF.L,LSE,False,c2|c3|c6|c8,2016.0,30.7
2026-08-18,ABI.BR,EURONEXT_BRUSSELS,False,c5|c8,67.06,60.7
2026-08-18,AC.PA,EURONEXT_PARIS,False,c2|c5|c6|c8,45.65,35.5
2026-08-18,ACKB.BR,EURONEXT_BRUSSELS,False,c1|c5|c6|c8,260.4,48.6
2026-08-18,AD.AS,EURONEXT_AMSTERDAM,False,c1|c3|c4|c5|c6|c8,31.84,15.6
2026-08-18,ADDT-B.ST,OMX_STOCKHOLM,False,c5|c6|c8,336.2,45.3
2026-08-18,ADEN.SW,SIX,False,c2|c4|c8,23.24,45.8
2026-08-18,ADP.PA,EURONEXT_PARIS,False,c1|c2|c3|c5|c6|c8,108.9,22.4
2026-08-18,ADS.DE,XETRA,False,c1|c2|c3|c5|c6|c8,154.7,33.2
2026-08-18,ADYEN.AS,EURONEXT_AMSTERDAM,False,c1|c2|c3|c4|c7|c8,1054.2,24.2
2026-08-18,AED.BR,EURONEXT_BRUSSELS,False,c1|c5|c6|c8,66.95,35.3
2026-08-18,AENA.MC,BME_MADRID,False,c5|c6|c8,26.2,42.8
2026-08-18,AFX.DE,XETRA,False,c2|c3|c4|c7|c8,31.22,31.5
2026-08-18,AI.PA,EURONEXT_PARIS,False,c5|c6|c8,167.04,50.6
2026-08-18,AIR.PA,EURONEXT_PARIS,False,c2|c8,209.8,52.1
2026-08-18,AKE.PA,EURONEXT_PARIS,False,c8,60.0,52.4
2026-08-18,AKZA.AS,EURONEXT_AMSTERDAM,False,c8,60.2,43.8
2026-08-18,ALC.SW,SIX,False,c2|c3|c4|c6|c8,60.34,28.0
2026-08-18,ALFA.ST,OMX_STOCKHOLM,False,c5|c8,550.6,68.5
2026-08-18,ALO.PA,EURONEXT_PARIS,False,c1|c2|c3|c4|c5|c6|c7|c8,15.8,0.5
2026-08-18,AMBU-B.CO,OMX_COPENHAGEN,False,c1|c2|c3|c4|c6|c7|c8,76.35,16.1
2026-08-18,AMG.AS,EURONEXT_AMSTERDAM,False,c1|c4|c8,32.78,53.4
2026-08-18,AMP.MI,BORSA_ITALIANA,False,c2|c3|c4|c8,12.5,21.9
2026-08-18,ANE.MC,BME_MADRID,False,c1|c2|c3|c5|c6|c8,20.96,23.9
2026-08-18,ANTO.L,LSE,False,c1|c5,3555.0,74.6
2026-08-18,ARCAD.AS,EURONEXT_AMSTERDAM,False,c2|c3,42.58,71.3
2026-08-18,ARGX.BR,EURONEXT_BRUSSELS,False,c2,870.0,81.1
2026-08-18,ASM.AS,EURONEXT_AMSTERDAM,False,c5,842.4,96.0
2026-08-18,ASML.AS,EURONEXT_AMSTERDAM,False,c5,1541.8,99.0
2026-08-18,ASRNL.AS,EURONEXT_AMSTERDAM,False,c6,70.76,72.0
2026-08-18,ASSA-B.ST,OMX_STOCKHOLM,False,c1|c2|c4|c6|c8,346.7,29.5
2026-08-18,AUTO.L,LSE,False,c1|c2|c3|c4|c6|c7|c8,527.2,21.4
2026-08-18,AV.L,LSE,False,c2|c6|c8,737.0,62.5
2026-08-18,AZN.L,LSE,False,c1|c3|c4|c5|c6|c8,11806.0,11.1
2026-08-18,BA.L,LSE,False,c4|c8,2225.0,67.8
2026-08-18,BAKKA.OL,OSLO,False,c2|c3|c4|c6|c8,468.0,38.3
2026-08-18,BARC.L,LSE,False,c5|c8,503.6,67.3
2026-08-18,BAS.DE,XETRA,False,c6|c8,50.99,56.7
2026-08-18,BATS.L,LSE,False,c1|c5|c6|c8,4147.0,30.2
2026-08-18,BAVA.CO,OMX_COPENHAGEN,False,c1|c2|c3|c4|c6|c8,189.0,25.4
2026-08-18,BC.MI,BORSA_ITALIANA,False,c2|c3|c6|c8,87.2,34.0
2026-08-18,BC8.DE,XETRA,False,c2|c3|c4|c8,35.16,33.8
2026-08-18,BEI.DE,XETRA,False,c1|c2|c3|c4|c6|c7|c8,77.0,4.0
2026-08-18,BEIJ-B.ST,OMX_STOCKHOLM,False,c1|c2|c3|c4|c5|c6|c7|c8,127.7,15.4
2026-08-18,BESI.AS,EURONEXT_AMSTERDAM,False,c1|c5|c7,222.3,95.5
2026-08-18,BILL.ST,OMX_STOCKHOLM,False,c1|c2|c3|c4|c6|c8,74.9,21.7
2026-08-18,BKG.L,LSE,False,c1|c2|c3|c4|c6|c8,3522.0,14.6
2026-08-18,BKW.SW,SIX,False,c1|c2|c3|c4|c5|c6|c7|c8,131.5,10.3
2026-08-18,BMW.DE,XETRA,False,c1|c2|c3|c4|c5|c6|c7|c8,57.96,1.0
2026-08-18,BN.PA,EURONEXT_PARIS,False,c1|c2|c3|c5|c6|c8,65.48,19.4
2026-08-18,BOL.ST,OMX_STOCKHOLM,False,c1|c4|c5|c7|c8,518.2,61.5
2026-08-18,BOSS.DE,XETRA,False,c2|c3|c5|c6|c8,37.96,36.0
2026-08-18,BP.L,LSE,False,c4|c8,533.5,68.3
2026-08-18,BRBY.L,LSE,False,c1|c2|c3|c4|c5|c6|c8,1074.5,19.6
2026-08-18,BUCN.SW,SIX,False,c1|c2|c3|c4|c5|c6|c8,302.0,8.3
2026-08-18,BVI.PA,EURONEXT_PARIS,False,c6|c8,27.42,41.6
2026-08-18,BZU.MI,BORSA_ITALIANA,False,c1|c2|c3|c4|c5|c6|c7|c8,39.21,9.8
2026-08-18,CA.PA,EURONEXT_PARIS,False,c5,15.895,70.0
2026-08-18,CAP.PA,EURONEXT_PARIS,False,c1|c2|c3|c4|c6|c7|c8,107.3,28.5
2026-08-18,CARL-B.CO,OMX_COPENHAGEN,False,c6|c8,908.4,47.9
2026-08-18,CBK.DE,XETRA,False,c8,39.0,66.0
2026-08-18,CCH.L,LSE,False,c5|c8,4546.0,50.4
2026-08-18,CFR.SW,SIX,False,c2|c5,187.05,76.8
2026-08-18,CLNX.MC,BME_MADRID,False,c1|c3|c4|c5|c6|c8,26.55,23.4
